date,station,year,month,season,obs_tmax_f,is_nan_obs,ens_mean,ens_var,mu_raw,mu_forecast,sigma_raw,sigma_forecast,c_train_applied,resid_raw,resid_calibrated,window_state,pit_value
2000-01-01,KORD,2000,1,Winter,48.02,False,37.593117,0.12382312,41.9560465135928,41.9560465135928,3.1447916251735806,3.3580520389754436,1.0678138456280364,6.0639534864072,6.0639534864072,0.0,0.9645248143956223
2000-01-02,KORD,2000,1,Winter,60.08,False,53.998463,2.4036682,58.183985698065435,58.183985698065435,3.426706134529363,3.6590842553489824,1.0678138456280364,1.8960143019345637,1.8960143019345637,0.0,0.6978288918140967
2000-01-03,KORD,2000,1,Winter,37.94,False,36.60793,0.24643953,40.9815127602863,40.9815127602863,3.1605936751178416,3.374925686695231,1.0678138456280364,-3.0415127602863024,-3.0415127602863024,0.0,0.18373865394558514
2000-01-04,KORD,2000,1,Winter,33.08,False,27.785624,0.40902233,32.25461112972118,32.25461112972118,3.1814253180277094,3.397170003421567,1.0678138456280364,0.8253888702788217,0.8253888702788217,0.0,0.595983226863245
2000-01-05,KORD,2000,1,Winter,26.06,False,22.470999,1.0143415,26.997458475989625,26.997458475989625,3.257813528536299,3.478738392245388,1.0678138456280364,-0.9374584759896258,-0.9374584759896258,0.0,0.3937792747155772
2000-01-06,KORD,2000,1,Winter,41.0,False,30.710754,0.47367722,35.1481097298624,35.1481097298624,3.189671702878312,3.405975607341418,1.0678138456280364,5.851890270137602,5.851890270137602,0.0,0.9571130491002834
2000-01-07,KORD,2000,1,Winter,28.94,False,19.454966,1.1980458,24.014040561378092,24.014040561378092,3.2806443026738985,3.5031174089759234,1.0678138456280364,4.925959438621909,4.925959438621909,0.0,0.9201623626774142
2000-01-08,KORD,2000,1,Winter,44.96,False,38.241444,0.2640602,42.597362407371605,42.597362407371605,3.162858030665257,3.377343596900186,1.0678138456280364,2.3626375926283956,2.3626375926283956,0.0,0.7578973724617505
2000-01-09,KORD,2000,1,Winter,41.0,False,37.343452,0.39833865,41.70908206643894,41.70908206643894,3.180060612381732,3.3957127518375856,1.0678138456280364,-0.7090820664389383,-0.7090820664389383,0.0,0.41729560545149985
2000-01-10,KORD,2000,1,Winter,46.04,False,40.934048,0.98799884,45.260848763311515,45.260848763311515,3.2545265374214063,3.4752284976224495,1.0678138456280364,0.7791512366884845,0.7791512366884845,0.0,0.5886997188398045
2000-01-11,KORD,2000,1,Winter,37.04,False,32.829205,0.48457164,37.24365106218699,39.0453452515852,3.1910591296263697,3.4074571208327886,1.0678138456280364,-0.20365106218699225,-2.0053452515852044,1.801694189398211,0.27809278054105524
2000-01-12,KORD,2000,1,Winter,35.06,False,34.593346,0.18225186,38.98871479624042,40.60810487185816,3.1523314414246553,3.3661031591618324,1.0678138456280364,-3.9287147962404205,-5.548104871858158,1.619390075617738,0.0496529650227023
2000-01-13,KORD,2000,1,Winter,33.98,False,27.688547,0.29724714,32.1585844940536,33.31563249701649,3.167118344713194,3.3818928192272963,1.0678138456280364,1.8214155059463977,0.6643675029835094,1.1570480029628916,0.577870399817844
2000-01-14,KORD,2000,1,Winter,28.04,False,23.599985,0.5520769,28.114236022840807,29.32238921834089,3.1996426491504186,3.4166227218247864,1.0678138456280364,-0.07423602284080744,-1.2823892183408923,1.2081531955000844,0.35370445859817884
2000-01-15,KORD,2000,1,Winter,42.08,False,33.98156,0.24003686,38.3835447348673,39.50009870048589,3.1597704936789577,3.374046682157327,1.0678138456280364,3.6964552651326983,2.5799012995141055,1.116553965618592,0.777754401843192
2000-01-16,KORD,2000,1,Winter,37.04,False,28.013844,0.13528346,32.480363154193284,33.76891053977948,3.1462719249295596,3.3596327235505576,1.0678138456280364,4.559636845806715,3.271089460220516,1.288547385586199,0.8348835720974759
2000-01-17,KORD,2000,1,Winter,24.98,False,22.42891,3.0523741,26.955824167413777,28.44881464426376,3.502777892412224,3.7403147316775653,1.0678138456280364,-1.9758241674137764,-3.468814644263759,1.4929904768499813,0.1768562009502746
2000-01-18,KORD,2000,1,Winter,32.0,False,29.234081,0.5609933,33.68740528575856,34.97634784235773,3.2007746833458346,3.417831523612376,1.0678138456280364,-1.6874052857585582,-2.9763478423577325,1.2889425565991721,0.19192368151940614
2000-01-19,KORD,2000,1,Winter,28.04,False,26.465252,0.41328597,30.94851794609067,32.07210784478108,3.181969780618524,3.3977513881144654,1.0678138456280364,-2.9085179460906723,-4.0321078447810805,1.1235898986904092,0.11767320396125597
2000-01-20,KORD,2000,1,Winter,19.04,False,11.844768,0.6565404,16.486138907109986,17.397512603443495,3.2128803381465687,3.4307581094189934,1.0678138456280364,2.5538610928900134,1.642487396556504,0.9113736963335102,0.6839429938913877
