stratum_id,stratum_range,sample_count_n,mean_pred_prob,empirical_hit_freq,abs_bias,ci_95_half_width,is_outside_ci
1,"[0.00, 0.05)",35675,0.01778643192328668,0.015585143658023826,0.002201288265262856,0.0012853416038654136,True
2,"[0.05, 0.10)",28649,0.08028101515369741,0.06586617333938358,0.014414841814313836,0.0028723483153830433,True
3,"[0.10, 0.15)",31023,0.11805072765086727,0.10808110111852497,0.009969626532342304,0.0034550293290974434,True
4,"[0.15, 0.20)",25684,0.17050487821567784,0.1716632923220682,0.0011584141063903652,0.004611762284490985,False
5,"[0.20, 0.25)",4380,0.22028404277620917,0.2271689497716895,0.006884906995480333,0.012408971367864143,False
6,"[0.25, 0.30)",4207,0.27055841308833917,0.3023532208224388,0.03179480773409965,0.013878576121635825,True
7,"[0.30, 0.35)",5974,0.3230361685584047,0.3635754938064948,0.04053932524809006,0.012198156772598218,True
8,"[0.35, 0.40)",1359,0.3818182655088574,0.4385577630610743,0.05673949755221691,0.026382277559781633,True
9,"[0.40, 0.45)",1804,0.41560948399597514,0.44567627494456763,0.030066790948592492,0.02293661347258403,True
10,"[0.45, 0.50)",140,0.47735208993836753,0.5071428571428571,0.029790767204489588,0.08281666498960218,False
11,"[0.50, 0.55)",272,0.526441310487602,0.5257352941176471,0.0007060163699549316,0.05934246593850589,False
12,"[0.55, 0.60)",650,0.578077098573694,0.563076923076923,0.015000175496771018,0.038131663259319895,False
13,"[0.60, 0.65)",1383,0.6278333258701168,0.6710050614605929,0.04317173559047616,0.02476295609407289,True
14,"[0.65, 0.70)",2299,0.6750372054409393,0.7142235754675946,0.03918637002665537,0.018467872842413375,True
15,"[0.70, 0.75)",2081,0.7214727199595159,0.7645362806343105,0.043063560674794554,0.018229765448217656,True
16,"[0.75, 0.80)",20,0.7525534754388155,0.75,0.0025534754388154557,0.18977618396416343,False
17,"[0.80, 0.85)",0,,,,,False
18,"[0.85, 0.90)",0,,,,,False
19,"[0.90, 0.95)",0,,,,,False
20,"[0.95, 1.00]",0,,,,,False
