scope_type,scope_name,sample_count_n,bs_model,bs_clim,brier_skill_score,is_skillful
Global,Global,145600,0.0975299681592525,0.1387871232357144,0.29726932956446717,True
Station,KORD,48580,0.10927454679788344,0.17085625484789416,0.36042993043967997,True
Station,KMIA,48580,0.06824101823798588,0.11238577100024455,0.39279663581400004,True
Station,KSFO,48440,0.11512504571727154,0.13310296299375388,0.13506774659348475,True
Season,Winter,36015,0.10001507923225349,0.14777618568460626,0.3231989392004453,True
Season,Spring,36708,0.09741216048787919,0.14367114150071622,0.32197823814608184,True
Season,Summer,36568,0.0963318769354016,0.12434413945243733,0.2252801188732393,True
Season,Autumn,36309,0.09639071917361318,0.13947916665245264,0.3089238953241321,True
